Year,State,Life Expectancy,Air Quality Index,Binge Drinking,Completed High SchoolPercent,Bachelor's degree or more Percent,Median Income,Health care coverage pct,Physical Activity Percentage,Smoking
2002,Montana,77.28089018,24.8488024,17,89.7,23.6,"34,835",82.2,78.1,21.9
2002,Nebraska,77.94659733,32.81826877,15.5,89.8,27.1,"42,796",88.1,68.6,20.2
2002,Nevada,75.70891194,44.15409702,18.9,85.8,22.1,"44,958",77.6,77.4,26.9
2002,New Hampshire,78.56396562,43.39271255,16.8,90.2,30.1,"55,321",88.2,80.5,24.1
2002,New Jersey,77.7039794,53.45457698,13.2,85.9,31.4,"54,568",86.7,73.4,21.1
2002,New Mexico,77.02317686,37.44911504,15.4,81.6,25.4,"35,457",78.7,74.2,23.8
2002,New York,77.99071017,47.25223214,14.2,83.7,28.8,"41,966",85,71.3,23.2
2002,North Carolina,76.02844594,58.03349687,10.5,80.1,22.4,"36,515",83.3,73.6,25.7
2002,North Dakota,78.65543467,29.72959319,21.2,89,25.3,"36,200",90.7,76.8,22.1
2002,Ohio,76.30068186,54.69481072,15.2,87.3,24.5,"42,684",88.6,73.8,27.6
2002,Oklahoma,75.00563979,43.89325658,9.9,85.1,20.4,"36,458",80.1,67.2,28.7
2002,Oregon,77.56488714,37.25066726,14.8,87.7,27.1,"41,802",82.6,79.2,20.5
2002,Pennsylvania,76.81925051,58.72544844,15.8,86.1,26.1,"42,498",89.6,75.3,24.5
2002,Rhode Island,77.75895927,53.93333333,15.4,80.1,30.1,"42,417",88.4,75.1,23.9
2002,South Carolina,75.04071249,51.15115343,12.3,80.2,23.3,"37,812",84.3,73.6,26
2002,South Dakota,77.97305069,27.24329268,18,89.2,23.6,"37,873",88.1,74.6,22.3
2002,Tennessee,74.71351736,49.14342916,7.3,80.1,21.5,"37,030",87.1,64.9,24.4
2002,Texas,76.47489321,48.97010086,16.2,78.1,26.2,"40,149",72.2,72.9,22.4
2002,Utah,78.39576085,51.3332193,9.9,91,26.8,"47,861",86.4,83.5,13.2
2002,Vermont,78.39287164,39.96416084,16.4,87.4,30.8,"42,999",88.4,79.7,22.4
2002,Virginia,76.95849546,49.90901388,13.4,86.7,34.6,"49,631",87.5,76.8,22.5
2002,Washington,78.24945631,37.40270698,14.7,90.4,28.3,"45,183",87.9,82.9,22.5
2002,West Virginia,74.806665,57.00336767,9,78.5,15.9,"29,359",82,68.3,28.2
2002,Wisconsin,78.00971629,46.6819001,26.2,86.8,24.7,"45,903",88.7,79.3,23.6
2002,Wyoming,76.56707543,38.62328549,16.6,91.6,19.6,"39,763",82.8,78.8,22.2
2003,Alabama,74.42582933,47.14804377,13.2,79.9,22.7,"37,255",85.4,72.7,24.4
2003,Alaska,76.5487357,25.82076176,18.2,90.6,24,"51,837",82.5,77.6,29.3
2003,Arizona,77.64356811,56.0080825,16.8,83.8,26,"41,166",83.3,77.4,23.4
2003,Arkansas,75.22934472,42.67747164,12.1,80.9,17.4,"32,002",80.8,72.6,26.3
2003,California,78.282144,64.048916,15.2,81.1,29.8,"49,300",83.9,77.3,16.4
2003,Colorado,78.28741958,38.41672001,17.9,88.7,36,"49,940",85,80.7,20.4
2003,Connecticut,78.95223304,51.78173913,14.9,87.5,33.5,"54,965",89.6,78,19.4
2003,Delaware,76.84553441,61.95929593,17.1,88.7,28.1,"49,019",91.3,72.9,24.7
2003,District of Columbia,72.98934908,57,16.1,86,46.4,"45,044",90.1,79.1,20.4
2003,Florida,77.50343026,41.64095745,13,84.7,25.8,"38,972",81.1,72.1,22
2003,Georgia,75.37997805,44.21238728,12.4,85.1,25,"42,438",83.5,74.3,23.2
2003,Hawaii,79.75000681,41.15803336,11.3,88.5,27,"51,834",91.8,83.9,21
2003,Idaho,78.19110852,32.98955447,14.4,88.2,22.5,"42,372",83.5,80.7,20.6
2003,Illinois,77.12224629,43.36589478,17.6,85.9,28.1,"45,153",84.9,71.4,22.8
2003,Indiana,76.33353753,47.91008613,15.1,86.4,22.2,"42,425",86.3,72.5,27.6
2003,Iowa,78.68310233,42.10609756,18.3,89.7,24.6,"41,384",88.1,78.2,23.2
2003,Kansas,77.55768747,44.01977622,15.3,88.6,31,"44,232",86.9,77.5,22.1
2003,Kentucky,75.04599135,47.50879607,8.4,82.8,21.3,"36,936",82.9,73.4,32.6
2003,Louisiana,73.93643706,46.72948105,13.7,79.8,22.3,"33,507",76.9,66.5,23.9
2003,Maine,77.67433294,35.68462292,15.4,86.6,23.7,"37,113",88.2,74.2,23.6
2003,Maryland,76.49821543,52.22791328,13.2,87.6,37.2,"52,314",88,77,21.9
2003,Massachusetts,78.45491565,47.45345345,18.2,87.1,37.6,"50,955",90.5,79.2,18.9
2003,Michigan,76.86407104,45.71530062,17.4,87.6,23.3,"45,022",89,75.9,24.2
2003,Minnesota,79.54321767,41.15937102,20.4,91.6,32.7,"52,823",93.1,83.8,21.7
2003,Mississippi,73.7835839,48.39193149,12.1,81.2,19.3,"32,728",80.9,67.5,27.3
2003,Missouri,76.1562423,50.04939119,15.8,88.3,26.6,"43,762",87.2,73.5,26.5
2003,Montana,77.28407982,25.46787032,18.6,90.1,24.9,"34,108",80.9,80.8,21.2
2003,Nebraska,78.28083564,33.72900158,16.3,90.8,26.8,"43,974",88.4,78,22.7
2003,Nevada,75.62563487,44.52055956,18.5,85.6,21.2,"45,184",79.5,75.2,26
2003,New Hampshire,78.88822873,43.67132603,16.2,92.1,34,"55,567",88.1,80.1,23.2
2003,New Jersey,77.9606918,47.05089505,13.7,86.2,33.4,"56,045",86.3,74,19
2003,New Mexico,76.93305676,37.86887349,15,81.7,23.7,"35,105",77.9,77,21.2
2003,New York,78.31482387,42.97700216,16.4,84.2,29.6,"42,788",84.3,74.9,22.3
2003,North Carolina,76.10681152,50.04667378,10.4,81.4,23.8,"37,279",82.6,70.5,26.3
2003,North Dakota,78.83517771,30.67183099,22.1,89.7,25.2,"40,410",88.5,78.3,21.5
2003,Ohio,76.50011459,49.12556433,16,87.2,25,"43,520",88.9,74.6,26.6
2003,Oklahoma,75.04064452,45.61871571,12.5,85.7,24.3,"35,902",80.3,69.4,26.6
2003,Oregon,77.80700194,32.08699634,15.6,86.9,26.4,"41,638",81,82.1,22.4
2003,Pennsylvania,77.01248677,52.41742555,16.6,86,24.8,"42,933",89.1,75.6,24.5
2003,Rhode Island,77.94375422,50.28645161,16.4,81,27.6,"44,711",89,75.4,22.4
2003,South Carolina,75.22745019,43.68108808,12.4,80.8,22.3,"38,479",81.7,75.4,26.6
2003,South Dakota,78.19986891,34.83246073,18.5,88.7,23.9,"39,522",88.3,76.2,22.6
2003,Tennessee,74.79307735,49.7339085,7.6,81,23.5,"37,523",87.4,66.4,27.7
2003,Texas,76.76411828,50.29535865,16.5,77.2,24.7,"39,271",73.3,70.7,22.9
2003,Utah,78.59337321,47.94028305,9.9,89.4,28.4,"49,275",83.5,81.1,12.8
2003,Vermont,78.68511351,37.66899302,16.1,88.9,31.3,"43,261",89.7,81.7,21.1
2003,Virginia,76.9746033,44.52501668,15.1,87.8,34.2,"54,783",87.9,75.6,24.6
2003,Washington,78.40745528,37.23639706,15,89.1,28.8,"47,508",85.6,85,21.5
2003,West Virginia,74.79271066,53.48582755,10.5,78.7,15.3,"32,763",80.9,71.6,28.4
2003,Wisconsin,78.40214887,46.2521327,25.3,88.6,24.1,"46,269",90,80,23.3
2003,Wyoming,77.04900117,36.08042489,17.1,90.9,20.7,"42,555",82.9,79.6,23.7
2004,Alabama,74.57062641,46.7974516,13.3,82.4,22.3,"36,629",82.9,70.1,25.3
2004,Alaska,77.54118335,27.43615495,18.3,90.2,25.5,"55,063",83.5,80.8,26.2
2004,Arizona,77.96927603,53.02058414,16.7,84.4,28,"43,846",82.1,78.8,20.8
